VideoID,Title,URL,Topic,Status,Talk By
S6SYLchhyxY,Autobiography of a Yogi (Tamil)  Audiobook - Introduction | அறிமுகம் | பரமஹம்ஸ யோகானந்தர்,https://www.youtube.com/watch?v=S6SYLchhyxY,YSS|Tamil|Autobiography of a Yogi |||,,
KvuSVRasA1w,Autobiography of a Yogi (Telugu) Audiobook - Introduction | పరిచయం | పరమహంస యోగానంద | ఒక యోగి ఆత్మకథ,https://www.youtube.com/watch?v=KvuSVRasA1w,YSS|Telugu|Autobiography of a Yogi |||,,
p6ExDsoA6Zk,Autobiography of a Yogi Read by Academy Award-winner Sir Ben Kingsley,https://www.youtube.com/watch?v=p6ExDsoA6Zk,SRF||Autobiography of a Yogi |||,,
IT31uJA05KU,Autobiography of a Yogi(Gujarati) | ઉપસંહાર | પરમહંસ યોગાનંદ  | યોગી કથામૃત,https://www.youtube.com/watch?v=IT31uJA05KU,YSS|Gujarati|Autobiography of a Yogi |||,,
17ZGqn1InDI,Autobiography of a Yogi(Gujarati) | પરિચય | પરમહંસ યોગાનંદ  | યોગી કથામૃત,https://www.youtube.com/watch?v=17ZGqn1InDI,YSS|Gujarati|Autobiography of a Yogi |||,,
V41OZc7zLxs,AWAKE: The Life of Yogananda - Theatrical Trailer,https://www.youtube.com/watch?v=V41OZc7zLxs,SRF|||||,,
YTTHtRNjVq8,Awakening Divine Memory | How-to-Live Talk With Meditation,https://www.youtube.com/watch?v=YTTHtRNjVq8,SRF|||| How-to-Live|,,
N2l6GE_NKDs,Awakening Divine Qualities Through Kriya Yoga Meditation | Brother Chidananda,https://www.youtube.com/watch?v=N2l6GE_NKDs,SRF|||| Brother Chidananda|,,
JgzGZsxZXbw,Awakening From the Cosmic Dream | How-to-Live Talk With Meditation,https://www.youtube.com/watch?v=JgzGZsxZXbw,SRF|||| How-to-Live|,,
fna7IbLoGJo,Awakening the Spine Through Kriya Yoga | Brother Chidananda,https://www.youtube.com/watch?v=fna7IbLoGJo,SRF|||| Brother Chidananda|,,
W7uwEmeVV8o,Balancing Our Material and Spiritual Lives | How-to-Live Talk With Meditation,https://www.youtube.com/watch?v=W7uwEmeVV8o,SRF|||| How-to-Live|,,
Y_2vL8vs2Ig,Be a Peacemaker | How-to-Live Talk With Meditation,https://www.youtube.com/watch?v=Y_2vL8vs2Ig,SRF|||| How-to-Live|,,
QpDGyxq0GoA,Be Messengers of God’s Light and Love | Sri Mrinalini Mata,https://www.youtube.com/watch?v=QpDGyxq0GoA,SRF|English|Sri Mrinalini Mata|Brother Vimalananda|SRF Monastics|,completed,Sri Mrinalini Mata
OiXMC-HRkq4,Become Fearless – Center Your Life in God | How-to-Live Inspirational Talk,https://www.youtube.com/watch?v=OiXMC-HRkq4,SRF|||| How-to-Live|,,
fhu-WdJoR_0,Becoming Humble Bearers of Light | How-to-Live Inspirational Talk,https://www.youtube.com/watch?v=fhu-WdJoR_0,SRF|||| How-to-Live|,,
yKTSbSrGaKk,Becoming Ideal Citizens of the World | 2025 Convocation,https://www.youtube.com/watch?v=yKTSbSrGaKk,SRF|||| 2025 |Convocation|,,
OjQpBanB1dg,Behind the Physical Cosmos: A World of Light and Energy | How-to-Live Talk With Meditation,https://www.youtube.com/watch?v=OjQpBanB1dg,SRF|||| How-to-Live|,,
aJe0d1Bhugs,Being a Spiritual Seeker in Today’s Complex World | 2021 Convocation,https://www.youtube.com/watch?v=aJe0d1Bhugs,SRF|||| 2021 |Convocation|,,
BYTkcw6uSok,Bringing God Into Our Daily Life | How-to-Live Talk With Meditation,https://www.youtube.com/watch?v=BYTkcw6uSok,SRF|||| How-to-Live|,,
4Wm-YW4KH24,Bringing the Power of Joy Into Our Lives | How-to-Live Inspirational Talk,https://www.youtube.com/watch?v=4Wm-YW4KH24,SRF|||| How-to-Live|,,
eLfDGUiw0y4,Brother Anandamoy Memorial Service,https://www.youtube.com/watch?v=eLfDGUiw0y4,SRF||||Brother Anandamoy|,,
kUzI0W_JW7I,Brother Chidananda Announces New Lay Member Initiative,https://www.youtube.com/watch?v=kUzI0W_JW7I,SRF||||Brother Chidananda|,,
N20enydosZQ,Brother Chidananda Announces New Online Meditation Center,https://www.youtube.com/watch?v=N20enydosZQ,SRF||||Brother Chidananda|,,
RCj1eDzNxDU,"Brother Chidananda Departs for India, October, 2019",https://www.youtube.com/watch?v=RCj1eDzNxDU,SRF||||Brother Chidananda|,,
XFIAvMkUxgA,Building a Spiritual Foundation for the Young Seeker | 2021 Convocation,https://www.youtube.com/watch?v=XFIAvMkUxgA,SRF|||| 2021 |Convocation|,,
